PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202309,15923000,14189000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202310,16404000,14070000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202311,13070000,10951000
1030515,NWD,PANAMA CITY BEACH CITY OF,23500000,5,ACTIVE,202312,12228000,9773000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202301,6380000,5476000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202302,6055000,5604000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202303,7508000,6576000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202304,8463000,6831000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202305,9195000,7470000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202306,9050000,8286000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202307,11177000,8826000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202308,8917000,8170000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202309,7959000,7411000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202310,8483000,7161000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202311,6467000,5575000
1030515,NWD,PANAMA CITY BEACH CITY OF,,6,ACTIVE,202312,6361000,4804000
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202301,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202302,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202303,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202304,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202305,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202306,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202307,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202308,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202309,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202310,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202311,,
1030517,NWD,PANAMA CITY WATER SYSTEM,1,1,ACTIVE,202312,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202301,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202302,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202303,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202304,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202305,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202306,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202307,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202308,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202309,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202310,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202311,,
1030517,NWD,PANAMA CITY WATER SYSTEM,,2,ACTIVE,202312,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202301,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202302,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202303,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202304,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202305,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202306,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202307,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202308,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202309,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202310,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202311,,
1030520,NWD,"PARKER, CITY OF WATER SYSTEM",1,1,ACTIVE,202312,,
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202301,0,0
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202302,0,0
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202303,0,0
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202304,0,0
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202305,1332,1045
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202306,2836,1152
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202307,1055,682
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202308,2196,860
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202309,3903,868
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202310,3431,1028
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202311,1558,821
1030568,NWD,"CREEKSIDE ESTATES PC, LLC",86400,1,ACTIVE,202312,2022,970
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202301,3200,2629
