,PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
32029,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202301,44.0,24.0
32030,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202302,60.0,43.0
32031,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202303,85.0,40.0
32032,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202304,70.0,38.0
32033,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202305,3080.0,532.0
32034,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202306,53.0,31.0
32035,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202307,694.0,119.0
32036,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202308,72.0,43.0
32037,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202309,56.0,40.0
32038,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202310,80.0,44.0
32039,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202311,52.0,40.0
32040,5264117,SD,DOLLAR GENERAL STORE #22980,5587.0,1,ACTIVE,202312,78.0,48.0
32041,5264119,SD,FELDA CAFE AND COUNTRY MARKET,5587.0,1,INACTIVE,202301,150.0,54.0
32042,5264119,SD,FELDA CAFE AND COUNTRY MARKET,5587.0,1,INACTIVE,202302,100.0,54.0
32043,5264119,SD,FELDA CAFE AND COUNTRY MARKET,5587.0,1,INACTIVE,202303,60.0,48.0
32044,5264119,SD,FELDA CAFE AND COUNTRY MARKET,5587.0,1,INACTIVE,202304,67.0,45.0
32045,5264119,SD,FELDA CAFE AND COUNTRY MARKET,5587.0,1,INACTIVE,202305,100.0,42.0
32046,5264119,SD,FELDA CAFE AND COUNTRY MARKET,5587.0,1,INACTIVE,202306,100.0,41.0
32047,5264119,SD,FELDA CAFE AND COUNTRY MARKET,5587.0,1,INACTIVE,202308,0.0,0.0
32048,5264119,SD,FELDA CAFE AND COUNTRY MARKET,5587.0,1,INACTIVE,202309,4.0,4.0
32049,5264119,SD,FELDA CAFE AND COUNTRY MARKET,5587.0,1,INACTIVE,202310,0.0,0.0
32050,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202301,2800.0,1800.0
32051,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202302,3400.0,1918.0
32052,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202303,2800.0,1881.0
32053,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202304,3400.0,1807.0
32054,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202305,2300.0,1635.0
32055,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202306,1900.0,1490.0
32056,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202307,1700.0,1265.0
32057,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202308,1600.0,1106.0
32058,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202309,1700.0,913.0
32059,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202310,1900.0,1003.0
32060,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202311,2700.0,1113.0
32061,5280015,SD,NEIBERT'S FISHING RESORT,3300.0,1,ACTIVE,202312,2100.0,1106.0
32062,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202301,2800.0,1626.0
32063,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202302,2800.0,2107.0
32064,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202303,3000.0,1845.0
32065,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202304,1600.0,1127.0
32066,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202305,2000.0,1177.0
32067,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202306,2300.0,1233.0
32068,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202307,3000.0,1355.0
32069,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202308,1300.0,871.0
32070,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202309,1800.0,1087.0
32071,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202310,2400.0,1323.0
32072,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202311,1500.0,1133.0
32073,5280116,SD,OAK ACRES - WEST WTP,10000.0,1,ACTIVE,202312,2000.0,1258.0
32074,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202301,1400.0,1042.0
32075,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202302,3000.0,1354.0
32076,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202303,1600.0,1100.0
32077,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202304,1900.0,863.0
32078,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202306,900.0,467.0
32079,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202307,900.0,552.0
32080,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202308,900.0,465.0
32081,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202309,700.0,440.0
32082,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202310,2400.0,1168.0
32083,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202311,2600.0,1620.0
32084,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,1,ACTIVE,202312,1300.0,777.0
32085,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202301,1700.0,1145.0
32086,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202302,2900.0,1107.0
32087,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202303,8500.0,1794.0
32088,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202304,1400.0,597.0
32089,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202306,1200.0,723.0
32090,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202307,1400.0,619.0
32091,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202308,1200.0,358.0
32092,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202309,700.0,337.0
32093,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202310,700.0,532.0
32094,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202311,1700.0,710.0
32095,5280125,SD,HENDERSON'S FISHING CAMP,3000.0,2,ACTIVE,202312,1000.0,735.0
32096,5280129,SD,HIDDEN ACRES ESTATES,53000.0,1,ACTIVE,202301,68000.0,17806.0
32097,5280129,SD,HIDDEN ACRES ESTATES,53000.0,1,ACTIVE,202302,28000.0,19107.0
32098,5280129,SD,HIDDEN ACRES ESTATES,53000.0,1,ACTIVE,202303,30000.0,19806.0
32099,5280129,SD,HIDDEN ACRES ESTATES,53000.0,1,ACTIVE,202304,30000.0,17600.0
32100,5280129,SD,HIDDEN ACRES ESTATES,53000.0,1,ACTIVE,202305,52000.0,19645.0
